Easy,"If you could be an animal, what would you be?"
Easy,What’s something funny that happened this year?
Easy,Which would you rather fight: 100 duck-sized horses or 1 horse-sized duck?
Easy,Who is your favorite music artist or group?
Easy,"Who's the better driver, mom or dad?"
Easy,Have you ever forgotten to do something important (like homework) and what happened?
Easy,Are you an early bird or a night owl?
Easy,What was your Halloween costume this year?
Easy,What was at the top of your Christmas list this year?
Hard,What's something interesting you learned this year?
Hard,Where would you like to go on vacation next year?
Hard,"What book, movie, or tv series that you like today do you think you'll like when you're 40?"
Hard,"If you could make one family rule that everyone had to follow, what would it be?"
Hard,"If you could trade lives with anyone for just one day, who would it be and why?"
Hard,"What's the nicest thing anybody has said to you or done for you? (Recently/this year/ever, your choice)"
Hard,"If you could ask your future self one question, what would you ask?"
Hard,"If your life had a theme song that played every time you entered a room, what would it be?"
Seriously?,What’s something embarrassing your mom or dad have done in front of your friends? $2
Seriously?,What’s one thing you wish people understood better about your generation? $3
Seriously?,What's something silly your mom or dad do that makes you laugh? $3
Seriously?,What's your best excuse to get out of doing something you don't want to do? $4
Seriously?,What's something most people don't know about you but you wish they did? $5
Seriously?,"If we looked at your YouTube or Spotify subscriptions, what would surprise us most? $2"
Seriously?,What’s something adults do that makes no sense to you? $3
Seriously?,What phrase or trend would you ban forever if you could? $2
Seriously?,"Be honest, on a scale of 1-10 how cringey is this game? $1"
Ask others,What was dating like before smartphones?
Ask others,What was your first apartment or place on your own like?
Ask others,What's the best (or worst) fashion trend you participated in?
Ask others,What's the dumbest thing you did as a child?
Ask others,"If you could give your teenage self one piece of advice, what would it be?"
